Date_Forecast,h1,h2,h3,h4
2010-12-10,9.960638177408029,,,
2010-12-17,4.614836343819263,,,
2010-12-24,5.195779456184583,,,
2010-12-31,6.825388370788431,,,
2011-01-07,4.063724186306565,,,
2011-01-14,3.6118078712154342,,,
2011-01-21,3.3253665905657552,,,
2011-01-28,3.207161688121354,,,
2011-02-04,2.68562607740801,,,
2011-02-11,3.04741803366796,,,
2011-02-18,3.825643260749524,,,
2011-02-25,3.6022273623409546,,,
2011-03-04,4.969422716738267,,,
2011-03-11,3.222715693218115,,,
2011-03-18,2.428762089980698,,,
2011-03-25,5.750229757993371,,,
2011-04-01,3.4866671006397336,,,
2011-04-08,4.761228875080382,,,
2011-04-15,6.524155931860003,,,
2011-04-22,5.647398842110189,,,
2011-04-29,4.0135237753474335,,,
2011-05-06,3.4001064611473284,,,
